        63.05.13;;Premi di assicurazioni non obbligatorie;;;9500,16;D;;;;12783,78;3283,62
            63.05.13.01;;Premi di assicuraz.non obblig.deducibili;;100;9080,16;D;;;;12363,78;3283,62
            63.05.13.03;;Premi di assicuraz.non obblig.indeducib.;;;420;D;;;;420;
        63.05.17;;Servizi di vigilanza;;100;1740;D;;;;1740;
        63.05.19;;Servizi smaltimento rifiuti;;100;128,9;D;;;;128,9;
        63.05.23;;Valori bollati;;100;451,04;D;;;;451,04;
        63.05.25;;Assistenza software;;100;1824,69;D;;;;1824,69;
65;;COSTI PER GODIMENTO BENI DI TERZI;;;48206,54;D;;;;55134,81;6928,27
    65.01;;GESTIONE IMMOBILI;;;31800;D;;;;31800;
        65.01.05;;Canoni locazione immobili;;;31800;D;;;;31800;
            65.01.05.01;;Canoni locazione immobili deducibili;;100;31800;D;;;;31800;
    65.05;;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;;;16406,54;D;;;;23334,81;6928,27
        65.05.03;;Canoni leasing impianti e macchinari;;100;6325,56;D;;;;13253,83;6928,27
        65.05.09;;Inter.canoni leasing imp.e macchinari;;100;136,44;D;;;;136,44;
        65.05.15;;Canoni noleggio attrezzature;;100;9944,54;D;;;;9944,54;
67;;COSTI PERSONALE DIPENDENTE;;;134495,5;D;;;;138868;4372,5
    67.01;;COSTI PERSONALE DIPENDENTE;;;133197,5;D;;;;137570;4372,5
        67.01.01;;Retribuzioni lorde;;;96363,92;D;;;;99124,96;2761,04
            67.01.01.01;;Retribuzioni lorde dipendenti ordinari;;100;95109,14;D;;;;97870,18;2761,04
            67.01.01.05;;Retribuzioni lorde apprendisti;;100;1254,78;D;;;;1254,78;
        67.01.03;;Contributi INPS;;;25889,07;D;;;;26546,35;657,28
            67.01.03.01;;Contributi INPS dipendenti ordinari;;100;25868,41;D;;;;26525,69;657,28
            67.01.03.05;;Contributi INPS apprendisti;;100;20,66;D;;;;20,66;
        67.01.07;;Quote TFR dipendenti;;;7516,42;D;;;;7516,42;
            67.01.07.01;;Quote TFR dipend.ordinari (in azienda);;100;6774,08;D;;;;6774,08;
            67.01.07.07;;Quote TFR apprendisti (in azienda);;100;98,2;D;;;;98,2;
            67.01.07.21;;Quote TFR (Qu.I.R.) dipendenti ordinari;;100;644,14;D;;;;644,14;
        67.01.09;;Contrib.altri enti previdenz./assistenz.;;;863,94;D;;;;863,94;
            67.01.09.01;;Contrib.altri enti previd/ass.dip.ordin.;;100;842,89;D;;;;842,89;
            67.01.09.03;;Contrib.altri enti previd/ass.apprend.;;100;21,05;D;;;;21,05;
        67.01.11;;Premi INAIL;;100;2564,15;D;;;;3518,33;954,18
    67.03;;COSTI DIVERSI PERSONALE DIPENDENTE;;;1298;D;;;;1298;
        67.03.13;;Ricerca, formazione e addestramento;;100;680;D;;;;680;
        67.03.25;;Visite mediche periodiche ai dipendenti;;100;280;D;;;;280;
        67.03.51;;Altri costi per il personale dipendente;;100;338;D;;;;338;
71;;ONERI DIVERSI DI GESTIONE;;;20937,81;D;;;;31730,03;10792,22
    71.01;;ONERI TRIBUTARI;;;10096;D;;;;12878;2782
        71.01.04;;IMU;;;7726;D;;;;7726;
        71.01.07;;Imposta di registro e concess. govern.;;100;387;D;;;;615;228
        71.01.13;;Tassa raccolta e smaltimento rifiuti;;100;1555;D;;;;4109;2554
        71.01.17;;TASI;;100;428;D;;;;428;
    71.03;;ALTRI COSTI DI ESERCIZIO;;;10736,81;D;;;;18747,03;8010,22
        71.03.01;;Spese, perdite e sopravvenienze passive;;;7021,08;D;;;;11142,06;4120,98
            71.03.01.05;;Spese, perdite e sopravv.passive inded.;;;7021,08;D;;;;11142,06;4120,98
        71.03.09;;Cancelleria varia;;100;50,94;D;;;;50,94;
        71.03.11;;Abbonamenti, libri e pubblicazioni;;100;2117,65;D;;;;6000;3882,35
        71.03.17;;Arrotondamenti passivi diversi;;100;43,24;D;;;;43,24;
        71.03.51;;Costi e spese diverse;;100;1503,9;D;;;;1510,79;6,89
    71.07;;COMP.NEG.DA EVENTI STRAORD./ES.PREC.;;;105;D;;;;105;
        71.07.01;;Minusvalenze da eventi straordinari;;;105;D;;;;105;
            71.07.01.09;;Minus.e perdite da eventi straordinari;;100;105;D;;;;105;
73;;PROVENTI FINANZIARI;;;-98,54;A;;;;;98,54
    73.13;;PROVENTI FINANZIARI VARI;;;-98,54;A;;;;;98,54
        73.13.09;;Interessi attivi su c/c bancari;;100;-11,67;A;;;;;11,67
        73.13.29;;Sconti attivi di natura finanziaria;;100;-0,03;A;;;;;0,03
        73.13.51;;Altri proventi finanziari da terzi;;100;-86,84;A;;;;;86,84
75;;ONERI FINANZIARI;;;69753,76;D;;;;69754,56;0,8
    75.01;;ONERI FINANZIARI VERSO BANCHE;;;60661,49;D;;;;60662,29;0,8
        75.01.01;;Interessi passivi bancari;;100;13981,51;D;;;;13981,51;
        75.01.07;;Commissioni e spese bancarie;;100;19261,64;D;;;;19262,44;0,8
        75.01.11;;Commissioni bancarie su finanziamenti;;100;12822,43;D;;;;12822,43;
        75.01.17;;Commissioni disponibilit… fondi;;100;14595,91;D;;;;14595,91;
    75.03;;ONERI FINANZIARI DIVERSI;;;9092,27;D;;;;9092,27;
        75.03.05;;Interessi passivi su mutui;;100;8382,51;D;;;;8382,51;
        75.03.27;;Interessi passivi di mora;;;646,47;D;;;;646,47;
            75.03.27.01;;Interessi passivi di mora pagati;;100;646,47;D;;;;646,47;
        75.03.29;;Inter.pass.per dilaz. pagamento imposte;;100;63,29;D;;;;63,29;
80;;AMMORTAMENTI;;;59110,75;D;;;;59110,75;
    80.01;;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;;;793,4;D;;;;793,4;
        80.01.01;;Amm.to spese societarie;;100;793,4;D;;;;793,4;
    80.03;;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;;;58317,35;D;;;;58317,35;
        80.03.05;;Amm.to ordinario fabbricati strumentali;;;28306,85;D;;;;28306,85;
            80.03.05.01;;Amm.to ordinario fabbricati strum.ded.;;100;28306,85;D;;;;28306,85;
        80.03.13;;Amm.ordinario impianti condizionamento;;100;165;D;;;;165;
        80.03.19;;Amm.to ordinario impianti elettrici;;100;765;D;;;;765;
        80.03.23;;Amm.to ordinario impianti specifici;;100;1493,75;D;;;;1493,75;
        80.03.27;;Amm.to ordinario macchinari automatici;;100;8776,88;D;;;;8776,88;
        80.03.29;;Amm.to ordin.altri impianti e macchinari;;100;14464,16;D;;;;14464,16;
        80.03.31;;Amm.ord.attrez.spec.industr.comm.agric.;;100;1707,97;D;;;;1707,97;
        80.03.33;;Amm.to ordinario attrezz.varia e minuta;;100;1328;D;;;;1328;
        80.03.41;;Amm.to ordinario costruzioni leggere;;100;1245;D;;;;1245;
        80.03.47;;Amm.to ordinario telefonia mobile;;;64,74;D;;;;64,74;
            80.03.47.01;;Amm.to ordin.telef.mobile totalm.deduc.;;100;51,79;D;;;;51,79;
            80.03.47.05;;Amm.to ordin. telefonia mobile indeduc.;;;12,95;D;;;;12,95;
84;;IMPOSTE DELL'ESERCIZIO;;;7918;D;;;;7918;
    84.01;;IMPOSTE DELL'ESERCIZIO;;;7918;D;;;;7918;
        84.01.03;;IRAP corrente;;;7918;D;;;;7918;
