57.09;COSTI PER UTENZE;127,08;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
57.09.03;Spese telefoniche radiomobili;127,08;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;341,60;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
57.11.01;Spese manut.impianti e macchin.propri;341,60;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;116,48;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
61.01;PRESTAZIONI DI LAVORO AUTONOMO;116,48;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
61.01.17;Altri costi per prestazioni di terzi;116,48;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;7536,98;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
63.01;SPESE COMMERCIALI E DI VIAGGIO;6100,00;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
63.01.01;Pubblicit…, inserzioni e affissioni;6100,00;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
63.05;SPESE AMMINISTRATIVE E GENERALI;1436,98;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
63.05.07;Servizi contabili di terzi;1434,98;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
63.05.23;Valori bollati;2,00;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
65;COSTI PER GODIMENTO BENI DI TERZI;1390,20;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;1390,20;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
65.05.15;Canoni noleggio attrezzature;1390,20;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
67;COSTI PERSONALE DIPENDENTE;6508,40;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
67.01;COSTI PERSONALE DIPENDENTE;6508,40;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
67.01.01;Retribuzioni lorde;5393,01;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
67.01.03;Contributi INPS;1115,39;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
71;ONERI DIVERSI DI GESTIONE;0,00;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
71.03;ALTRI COSTI DI ESERCIZIO;0,00;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
71.03.01;Spese, perdite e sopravvenienze passive;0,00;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
75;ONERI FINANZIARI;49,25;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
75.01;ONERI FINANZIARI VERSO BANCHE;49,25;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
75.01.07;Commissioni e spese bancarie;49,25;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
80;AMMORTAMENTI;96,09;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;46,85;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
80.01.53;Amm.to altre spese pluriennali;46,85;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;49,24;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
80.03.13;Amm.ordinario impianti condizionamento;23,94;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
80.03.33;Amm.to ordinario attrezz.varia e minuta;6,63;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
80.03.35;Amm.to ordinario mobili e arredi;7,68;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
80.03.39;Amm.ord.macchine d'ufficio elettroniche;10,99;;;;;;;;;;;0;;0,00;0,00;0,00;;0;;0,00;0,00;0,00;;0;;0,00;;0;;0,00;0;Centro imputazione non assegnato
